day,x,y,z
312,-9.966578946499111E12,-1.5357211581549404E12,2.582353220582503E7
313,-9.998041401918838E12,-1.5405500442764443E12,2.5879735570159294E7
314,-1.0029503847758943E13,-1.545378928921718E12,2.593593891441516E7
315,-1.0060966284079428E13,-1.5502078121000264E12,2.5992142238724437E7
316,-1.009242871093973E13,-1.5550366938205479E12,2.6048345543217663E7
317,-1.0123891128398736E13,-1.5598655740923745E12,2.6104548828024108E7
318,-1.0155353536514777E13,-1.5646944529245134E12,2.6160752093271807E7
319,-1.018681593534565E13,-1.5695233303258882E12,2.621695533908755E7
320,-1.0218278324948613E13,-1.57435220630534E12,2.6273158565596923E7
321,-1.0249740705380396E13,-1.579181080871628E12,2.6329361772924304E7
322,-1.0281203076697213E13,-1.5840099540334307E12,2.638556496119289E7
323,-1.0312665438954756E13,-1.5888388257993467E12,2.644176813052471E7
324,-1.0344127792208209E13,-1.5936676961778962E12,2.6497971281040642E7
325,-1.0375590136512258E13,-1.5984965651775215E12,2.6554174412860412E7
326,-1.0407052471921088E13,-1.6033254328065881E12,2.661037752610263E7
327,-1.0438514798488395E13,-1.6081542990733857E12,2.6666580620884787E7
328,-1.0469977116267389E13,-1.6129831639861287E12,2.672278369732328E7
329,-1.0501439425310803E13,-1.6178120275529578E12,2.6778986755533423E7
330,-1.0532901725670896E13,-1.6226408897819402E12,2.6835189795629445E7
331,-1.0564364017399459E13,-1.6274697506810708E12,2.689139281772453E7
332,-1.0595826300547822E13,-1.6322986102582732E12,2.694759582193081E7
333,-1.0627288575166855E13,-1.6371274685214004E12,2.700379880835939E7
334,-1.0658750841306982E13,-1.6419563254782356E12,2.7060001777120344E7
335,-1.069021309901818E13,-1.6467851811364932E12,2.7116204728322744E7
336,-1.072167534834998E13,-1.6516140355038188E12,2.717240766207467E7
337,-1.0753137589351484E13,-1.6564428885877915E12,2.722861057848321E7
338,-1.0784599822071363E13,-1.6612717403959233E12,2.7284813477654483E7
339,-1.081606204655786E13,-1.6661005909356606E12,2.7341016359693654E7
340,-1.0847524262858797E13,-1.670929440214385E12,2.7397219224704932E7
341,-1.0878986471021586E13,-1.6757582882394138E12,2.7453422072791588E7
342,-1.0910448671093223E13,-1.6805871350180005E12,2.750962490405596E7
343,-1.09419108631203E13,-1.685415980557336E12,2.7565827718599487E7
344,-1.0973373047149006E13,-1.6902448248645488E12,2.762203051652269E7
345,-1.1004835223225137E13,-1.6950736679467073E12,2.76782332979252E7
346,-1.1036297391394092E13,-1.6999025098108176E12,2.7734436062905766E7
347,-1.1067759551700887E13,-1.704731350463827E12,2.7790638811562262E7
348,-1.1099221704190152E13,-1.7095601899126228E12,2.78468415439917E7
349,-1.113068384890614E13,-1.7143890281640344E12,2.790304426029023E7
350,-1.1162145985892727E13,-1.7192178652248328E12,2.7959246960553177E7
351,-1.1193608115193418E13,-1.7240467011017317E12,2.8015449644875012E7
352,-1.1225070236851354E13,-1.7288755358013884E12,2.8071652313349392E7
353,-1.1256532350909312E13,-1.7337043693304045E12,2.8127854966069162E7
354,-1.1287994457409713E13,-1.7385332016953254E12,2.818405760312636E7
355,-1.1319456556394623E13,-1.7433620329026426E12,2.8240260224612225E7
356,-1.1350918647905758E13,-1.7481908629587927E12,2.8296462830617215E7
357,-1.1382380731984486E13,-1.7530196918701594E12,2.8352665421231E7
358,-1.1413842808671834E13,-1.757848519643073E12,2.8408867996542495E7
359,-1.1445304878008488E13,-1.7626773462838118E12,2.8465070556639843E7
360,-1.1476766940034803E13,-1.7675061717986018E12,2.8521273101610437E7
361,-1.1508228994790797E13,-1.7723349961936184E12,2.857747563154093E7
362,-1.1539691042316166E13,-1.777163819474986E12,2.8633678146517247E7
363,-1.157115308265028E13,-1.7819926416487788E12,2.868988064662457E7
364,-1.1602615115832186E13,-1.7868214627210217E12,2.874608313194737E7
365,-1.1634077141900615E13,-1.7916502826976902E12,2.8802285602569412E7
366,-1.1641942647312244E13,-1.7928574875215999E12,2.8816336217940908E7
